4	5	218	15728613	15728613	15728613
5	3	219	15728691	15728691	15728691
5	3	218	15728722	15728722	15728722
5	5	218	15728738	15728738	15728738
4	2	220	15728754	15728754	15728754
5	4	218	15728769	15728769	15728769
5	2	219	15728800	15728800	15728800
5	5	219	15728816	15728816	15728816
3	3	217	15728832	15728832	15728832
5	1	218	15728863	15728863	15728863
4	4	218	15728878	15728878	15728878
4	4	218	15728894	15728894	15728894
4	6	218	15728910	15728910	15728910
4	4	218	15728941	15728941	15728941
2	3	219	15728956	15728956	15728956
5	3	219	15728972	15728972	15728972
4	4	217	15729003	15729003	15729003
5	2	218	15729019	15729019	15729019
4	3	217	15729034	15729034	15729034
5	1	219	15729050	15729050	15729050
4	4	220	15729081	15729081	15729081
4	2	219	15729097	15729097	15729097
3	3	219	15729112	15729112	15729112
5	3	218	15729144	15729144	15729144
5	3	217	15729159	15729159	15729159
4	1	218	15729175	15729175	15729175
2	3	219	15729190	15729190	15729190
4	5	218	15729222	15729222	15729222
5	1	218	15729237	15729237	15729237
4	3	219	15729253	15729253	15729253
5	3	217	15729284	15729284	15729284
3	3	219	15729300	15729300	15729300
3	2	218	15729315	15729315	15729315
6	2	220	15729331	15729331	15729331
4	3	218	15729362	15729362	15729362
5	5	219	15729378	15729378	15729378
4	0	218	15729393	15729393	15729393
3	2	220	15729424	15729424	15729424
4	4	217	15729440	15729440	15729440
4	3	219	15729456	15729456	15729456
1	2	219	15729471	15729471	15729471
5	2	217	15729502	15729502	15729502
4	6	219	15729518	15729518	15729518
4	4	219	15729534	15729534	15729534
4	6	218	15729549	15729549	15729565
4	3	218	15729580	15729580	15729580
5	4	219	15729596	15729596	15729596
3	2	219	15729612	15729612	15729612
4	7	217	15729643	15729643	15729643
4	5	217	15729658	15729658	15729658
5	4	219	15729674	15729674	15729674
5	3	219	15729690	15729690	15729690
5	7	218	15729721	15729721	15729721
4	4	219	15729736	15729736	15729736
3	3	218	15729752	15729752	15729752
5	3	219	15729783	15729783	15729783
3	3	219	15729799	15729799	15729799
5	4	218	15729814	15729814	15729814
2	5	218	15729830	15729830	15729830
4	4	219	15729861	15729861	15729861
3	5	219	15729877	15729877	15729877
4	3	217	15729892	15729892	15729892
9	4	219	15729924	15729924	15729924
5	4	219	15729939	15729939	15729939
4	4	218	15729955	15729955	15729955
4	2	218	15729970	15729970	15729970
4	2	217	15730002	15730002	15730002
3	2	219	15730017	15730017	15730017
4	1	218	15730033	15730033	15730033
5	0	218	15730064	15730064	15730064
4	3	219	15730080	15730080	15730080
5	3	218	15730095	15730095	15730095
5	1	219	15730111	15730111	15730111
4	3	219	15730142	15730142	15730142
4	4	220	15730158	15730158	15730158
5	2	219	15730173	15730173	15730173
4	2	217	15730204	15730204	15730204
4	3	218	15730220	15730220	15730220
3	2	217	15730236	15730236	15730236
4	5	219	15730251	15730251	15730251
4	1	217	15730282	15730282	15730282
6	4	220	15730298	15730298	15730298
3	3	219	15730314	15730314	15730314
5	3	219	15730329	15730329	15730329
4	4	218	15730360	15730360	15730360
3	3	219	15730376	15730376	15730376
4	3	218	15730392	15730392	15730392
5	3	217	15730423	15730423	15730423
4	3	219	15730438	15730438	15730438
4	5	219	15730454	15730454	15730454
4	3	218	15730470	15730470	15730470
4	4	218	15730501	15730501	15730501
5	4	218	15730516	15730516	15730516
4	4	218	15730532	15730532	15730532
4	4	218	15730563	15730563	15730563
5	6	218	15730579	15730579	15730579
4	4	219	15730594	15730594	15730594
4	4	218	15730610	15730610	15730610
4	4	218	15730641	15730641	15730641
4	4	218	15730657	15730657	15730657
4	5	217	15730672	15730672	15730672
5	2	219	15730704	15730704	15730704
2	2	218	15730719	15730719	15730719
4	3	219	15730735	15730735	15730735
5	4	219	15730750	15730750	15730750
6	2	219	15730782	15730782	15730782
5	3	218	15730797	15730797	15730797
4	2	217	15730813	15730813	15730813
5	1	218	15730844	15730844	15730844
5	4	220	15730860	15730860	15730860
4	5	219	15730875	15730875	15730875
4	2	219	15730891	15730891	15730891
5	2	217	15730922	15730922	15730922
